520829332525441024	T15111111	negative	Saturday without Leeds United is like Sunday without a Sunday dinner it doesn't feel normal at all (Ryan)
522931511323275264	T15111115	positive	Catch Rainbow Valley at the @CBC #IMAF2014 Gala. Oct 26 @TheGuildPEI! http://t.co/S5aJAEpnkY
523099837936312321	T15111117	positive	@NiklaklePinkel it doesn't really count
521384413217959937	T15111120	positive	#BEARDOWN Wish us luck...we may need it. (@ Georgia Dome for Atlanta Falcons vs. Chicago Bears in Atlanta
523076584497229824	T15111122	positive	We're so excited to be part of the Still We Rise Gala on Dec 3. Join us! @warriors4peace http://t.co/MsKuNg5VMH http://t.co/BdQm1uZe4J
522903127717330944	T15111124	negative	Not really feeling this new season of American Horror Story. 1st 2 season were legit
520384524933672960	T15111132	positive	@jag_meister1980 Dude
522436979921674241	T15111139	neutral	Late upload from the Bears game Sunday @ The Georgia Dome http://t.co/C0iXej2XSz
523087448264671233	T15111142	neutral	My Friday consists of Netflix and hot tea allllllllll day long.
522089822991970305	T15111143	positive	I'm a big fan of Kunle Afolayan. I normally enjoy his movies  Is October 1 any good? Would love to see it
522156684903735296	T15111147	positive	I watched October 1 today. Awesome movie: A blockbuster! Kunle Afolayan never disappoints. D Lord will bless u with better ideas.Cheers!
523073472440721408	T15111152	neutral	#DailyDouble reminder! Liam's on a Friday night double @ 11/4. Get it here &gt;&gt;&gt;http://t.co/puba8PjJbn http://t.co/vQITaxF6wj
522849555562242048	T15111153	positive	@Dev_Still71  just got back to Ohio from LA while I was there I saw a guy wearing your jersey on Sun. And one at LAX yesterday #LeahStrong
519035126920273920	T15111156	neutral	@stanleyazuakola there was a particular scene where Danladi sat in the bush with Afolayan's character. They just kept talking and talking.
522767036166856704	T15111157	positive	Need car financing? Toyota of Hollywood has you covered! http://t.co/rMFV0qYNOK
522855301876580353	T15111159	positive	I've been watching Gilmore Girls for the past 3 hours. Oops
519145349596737536	T15111161	neutral	The Coast Guard first encountered Reza Baluchi on Wednesday after receiving a report about a man in a bubble off the coast of Florida...
523096571995774978	T15111165	neutral	Tip o' the day on Green Day Friday @binghamtonu: Give your old laptop a new life via Globetops  http://t.co/srt7KCnsCT
522983614741745664	T15111166	neutral	just sat here thinking about liam and louis changing their world the whole world
522787055060148224	T15111167	positive	Kobe Bryant is better than the 40th best player. I would say about 25th
523035728226177024	T15111169	neutral	#DailyDouble time! Liam's on a Friday night double @ 11/4. Get it here &gt;&gt;&gt;http://t.co/puba8PjJbn http://t.co/vQITaxF6wj
523102034598559745	T15111170	neutral	How safe are local rescue workers against the threat of Ebola? David Linton provides some answers on Sunday.
523099232173957120	T15111171	positive	Brilliant brilliant brilliant. Wondering what to do for Halloween? Lensa nails it. Friday Night http://t.co/QZXlXCm2yA via @lensatweets
522905032996712448	T15111176	neutral	Lax sesh tomorrow fr
521058627759509506	T15111178	positive	Blood moon returns early Wednesday
523095100373893120	T15111180	neutral	Martinez confirms he's in the 18 for tomorrow. Ospina got banjaxed by that unpunished late foul against Galatasaray.
521791172701093888	T15111181	positive	Football giants Leeds United take on Rotherham this Friday at 7:30
522918140016328706	T15111183	neutral	@VictoriaJustice I may or may not be watching Gilmore Girls just because you're in this episode.
523058491460943872	T15111186	neutral	http://t.co/04psdX9ixP Jennifer Lawrence touched down at LAX on Tuesday sporting a "love" pin on her purse. Simple enough
523098781186007040	T15111187	negative	@MichelleNunnGA Trick or Treat: Wants Georgia voters to forget she's a Democrat and Sam Nunn's daughter until after Halloween
522949481697140736	T15111190	positive	The #SacredHeartsAcademy Gala is on Friday evening!   Read about the Distinguished Alumnae: http://t.co/LB3KeZbJnt
522996460804374528	T15111192	negative	It may be because it's really late or because i've watched 40+ hours of Gilmore Girls
518806800356110336	T15111195	positive	@KaylaKnappFOX you might enjoy these pics I took at Arsenal vs Galatasaray on Wed http://t.co/KUIhYpDIuN
522937786098528256	T15111197	neutral	Georgetown may have Bill Clinton
523075872233115648	T15111198	positive	Hull City manager Steve Bruce says his side is hoping to benefit from a wounded Arsenal when they meet on Saturday. Despite the London te...
522547655797661697	T15111201	positive	Received the Blood Moon image today
522940417596477440	T15111203	neutral	In one weeks time I managed to binge watch the entire 4th season of Gilmore Girls and write my Stress management plan/paper #Multitasker
523078153938698240	T15111207	positive	Yeah - Friday!  Opportunities abound.  I've see the TOYOTA trucks with "YO" on the tailgate.  Today I was a Mitsubishi that said "t u  shi"
521059663664906240	T15111211	neutral	got me looking at this paper Mars rules Tuesday and its color is Red and nights ago it was  a Blood Moon now  checking date @iHoodscholar
521016739820093440	T15111212	neutral	Convenient location to the Georgia Dome: This is our 2nd time staying at the Omni at CNN and both times we wer... http://t.co/0AowZjZLX9
522650795867930625	T15111215	positive	@Leah__Mayy Lets hope they beat Leeds United
522912244418768896	T15111219	negative	I keep thinking its gonna be a green day tomorrow but then i remember that it will be a white day so i cry
522855195982974976	T15111221	positive	Flew out of Burbank for the 1st time. Mind blown. I'm ruined! Sorry
522774763492868096	T15111225	positive	In Arusha for tomorrow's annual Toyota cocktail and dinner at the HRC. Looking forward to seeing old friends and Toyota customers.
521040118514450432	T15111228	neutral	Blood Moon: Blood Moons: Decoding the Imminent Heavenly Signs: The sun shall be turned into darkness
522287995203121152	T15111233	neutral	After the Blood Moon comes the Pumpkin Sun http://t.co/FjWZQX9ZkJ
523004281981763585	T15111234	neutral	Louis
523098579452579840	T15111235	positive	@PurplePandaTA Halloween is a friday if that helps
523101744650153985	T15111240	positive	Arsenal: Ozil linked with shock rivals switch: Arsenal midfielder Mesut Ozil has emerged as a surprise January... http://t.co/eymcZWkygL
520426610131230720	T15111244	positive	Nollywood rising with October 1 Kunle Afolayan is the most important ambassador the Nigerian government does not... http://t.co/LeEBu4Q04T
522736188130869248	T15111247	neutral	We have had a few home Leeds United tickets returned which are available on a 1st come 1st served basis to supporters on the database #RUFC
523086503082487808	T15111252	positive	Not forgetting England's biggest football club and everyone's favourite 2nd team Leeds United take on Rotherham at 7:30 tonight
