col0,col1,MN MINNEAPOLIS,col3,KMSP,44.88,-93.23,True,KMSP,0.0,,UTFERROR-Could Not Retrieve Address
col0,col1,NY MASSENA,col3,KMSS,44.93,-74.85,True,KMSS,0.0,,"2-98 Aviation Road, Massena, NY 13662, USA"
col0,col1,NY MONTICELLO,col3,KMSV,41.7,-74.78,False,KPOU,46.705,,"277 Creamery Road, Swan Lake, NY 12783, USA"
col0,col1,LA NEW ORLEANS/INTL,col3,KMSY,30.0,-90.25,False,KNEW,13.607,,"2400-2412 Bainbridge Street, Kenner, LA 70062, USA"
col0,col1,FL PENSACOLA,col3,KPNS,30.48,-87.18,True,KPNS,0.0,,"3885 Hidden Oak Drive, Pensacola, FL 32504, USA"
col0,col1,CO EAGLE CO. REGION,col3,KEGE,39.63,-106.92,False,KASE,27.766,,"92 Marie Ranch Road, Gypsum, CO 81637, USA"
col0,col1,TN MCMINNVILLE,col3,KRNC,35.7,-85.85,False,KCSV,46.466,,"205 D C Lane, McMinnville, TN 37110, USA"
col0,col1,TX RANDOLPH AFB,col3,KRND,29.52,-98.27,False,KSAT,12.044,,"Randolph Air Force Base, Golf Road, Universal City, TX 78148, USA"
col0,col1,IL PONTIAC,col3,KPNT,40.92,-88.62,False,KLOT,54.193,,"16075-16379 East 2000 North Road, Pontiac, IL 61764, USA"
col0,col1,WI NEW RICHMOND MUN,col3,KRNH,45.15,-92.53,False,KMSP,38.948,,"1393 200th Street, Baldwin, WI 54002, USA"
col0,col1,CA RAMONA,col3,KRNM,33.03,-116.92,True,KRNM,0.0,,"17289 Voorhes Lane, Ramona, CA 92065, USA"
col0,col1,NV RENO,col3,KRNO,39.5,-119.77,True,KRNO,0.0,,"Reno-Tahoe International Airport, 1776 National Guard Way, Reno, NV 89502, USA"
col0,col1,CA AVALON,col3,KAVX,33.4,-118.42,False,KLGB,32.916,,"El Rancho Escondido Road, Avalon, CA 90704, USA"
col0,col1,KS GREAT BEND,col3,KGBD,38.35,-98.87,False,KSLN,72.295,,"49 Southwest 50 Avenue, Great Bend, KS 67530, USA"
col0,col1,MI OWOSSO,col3,KRNP,43.0,-84.13,False,KFNT,19.318,,Could Not Retrieve Address
col0,col1,WY PINEDALE R WENZ,col3,KPNA,42.8,-109.8,False,KBPI,21.522,,"13 Flagstone Way, Pinedale, WY 82941, USA"
col0,col1,IL GALESBURG,col3,KGBG,40.93,-90.43,False,KMLI,36.232,,UTFERROR-Could Not Retrieve Address
col0,col1,WA RENTON,col3,KRNT,47.5,-122.22,False,KSEA,5.809,,"11448 Rainier Avenue South, Seattle, WA 98178, USA"
col0,col1,PA PHILADELPHIA/NE,col3,KPNE,40.08,-75.02,False,KTTN,17.39,,"9801 Blue Grass Road, Philadelphia, PA 19114, USA"
col0,col1,MS CLEVELAND,col3,KRNV,33.77,-90.75,False,KGLH,22.871,,"274-298 McCain Road, Cleveland, MS 38732, USA"
col0,col1,MN PRINCETON MUNI,col3,KPNM,45.57,-93.6,False,KSTC,21.813,,"1680-1904 18th Street, Princeton, MN 55371, USA"
col0,col1,LA MAGNOLIA OILP,col3,KGBK,27.2,-92.2,False,KARA,196.494,,Could Not Retrieve Address
col0,col1,VA FREDERICKSB/SHAN,col3,KEZF,38.27,-77.45,False,KIAD,45.602,,"3324-3406 Shannon Park Drive, Fredericksburg, VA 22408, USA"
col0,col1,No station name provided by NCAR/nsdc,col3,KCZT,28.52,-99.82,False,KDRT,88.726,,"Dimmit County Airport (CZT), Carrizo Springs, TX 78834, USA"
